class,x_center,y_center,width,height,tile
0,-59.20984912591687,-62.28556504634243,30,30,NaN
0,-59.20984912591687,-62.28556310913313,30,30,NaN
0,-59.209847343318934,-62.28556366262153,30,30,NaN
0,-59.209846351191295,-62.28556507434684,30,30,NaN
0,-59.209847343318934,-62.285567260295714,30,30,NaN
0,-59.20984912591687,-62.28556864401646,30,30,NaN
0,-59.20985863310598,-62.28557002773713,30,30,NaN
0,-59.209868734494414,-62.285573348666446,30,30,NaN
0,-59.20987645908555,-62.28557307192235,30,30,NaN
0,-59.20988133036819,-62.28557185973306,30,30,NaN
0,-59.20988548021089,-62.28556942849004,30,30,NaN
0,-59.209893096666484,-62.28555978820266,30,30,NaN
0,-59.209894879264425,-62.28555674401607,30,30,NaN
0,-59.20989547346372,-62.28554429052225,30,30,NaN
0,-59.20990828317876,-62.28553723013929,30,30,NaN
0,-59.209910922646074,-62.28553488121237,30,30,NaN
0,-59.209912111044716,-62.28553017655632,30,30,NaN
0,-59.209909327403544,-62.285528249982804,30,30,NaN
0,-59.209904980652865,-62.28552685562222,30,30,NaN
0,-59.20989725606173,-62.28552657887771,30,30,NaN
0,-59.209894879264425,-62.285525195155,30,30,NaN
0,-59.209888937271245,-62.285525195155,30,30,NaN
0,-59.20987992957285,-62.28552592429369,30,30,NaN
0,-59.2098746764876,-62.28552740911124,30,30,NaN
0,-59.2098722996903,-62.285529069578345,30,30,NaN
0,-59.20987201595869,-62.28553088154797,30,30,NaN
0,-59.20987491735714,-62.28553531071574,30,30,NaN
0,-59.209874082288245,-62.28553681842349,30,30,NaN
0,-59.209869922893,-62.28553820214562,30,30,NaN
0,-59.20985165452486,-62.285540143584186,30,30,NaN
0,-59.20984674911958,-62.285541246334084,30,30,NaN
0,-59.20984140132574,-62.28554373703353,30,30,NaN
0,-59.20984021292709,-62.28554539749969,30,30,NaN
0,-59.20984140132574,-62.28554871843177,30,30,NaN
0,-59.20985031431553,-62.28555314634062,30,30,NaN
0,-59.20985150271412,-62.28555536029479,30,30,NaN
0,-59.20985150271412,-62.28556144866795,30,30,NaN
0,-59.20984912591687,-62.28556504634243,30,30,NaN
0,-59.20984080712638,-62.285521597475764,30,30,NaN
0,-59.20983843032915,-62.285521043986606,30,30,NaN
0,-59.209839618727784,-62.285520213752854,30,30,NaN
0,-59.20984853171751,-62.28551689281766,30,30,NaN
0,-59.20986067002631,-62.28551119173154,30,30,NaN
0,-59.209863980899854,-62.28550693000978,30,30,NaN
0,-59.20986219830192,-62.28550333232833,30,30,NaN
0,-59.20985744470732,-62.28550028813603,30,30,NaN
0,-59.20985506791008,-62.2854966904538,30,30,NaN
0,-59.209853285312136,-62.28549641370897,30,30,NaN
0,-59.20985123189081,-62.2854954310295,30,30,NaN
0,-59.20985041105388,-62.28549364951128,30,30,NaN
0,-59.20985269111277,-62.28548894159827,30,30,NaN
0,-59.209863980899854,-62.2854853439147,30,30,NaN
0,-59.20986635769711,-62.28548229972054,30,30,NaN
0,-59.209869922893,-62.28548063925089,30,30,NaN
0,-59.209880618480796,-62.28547814854624,30,30,NaN
0,-59.20989190826783,-62.28547372062629,30,30,NaN
0,-59.20990314812836,-62.2854712931412,30,30,NaN
0,-59.20991864723722,-62.28546956945081,30,30,NaN
0,-59.20993579108825,-62.28546792118885,30,30,NaN
0,-59.20993977622598,-62.28546813197662,30,30,NaN
0,-59.20994182101063,-62.285469015960665,30,30,NaN
0,-59.20994182101063,-62.28547344388131,30,30,NaN
0,-59.209944792007235,-62.28547593458634,30,30,NaN
0,-59.209947792920985,-62.28547642945602,30,30,NaN
0,-59.209957270192916,-62.28547621133135,30,30,NaN
0,-59.20996796578071,-62.28547814854624,30,30,NaN
0,-59.209972719375195,-62.28548229972054,30,30,NaN
0,-59.209972719375195,-62.2854853439147,30,30,NaN
0,-59.209970936777246,-62.28548617414942,30,30,NaN
0,-59.20996142958816,-62.285487004384116,30,30,NaN
0,-59.20995132819971,-62.2854853439147,30,30,NaN
0,-59.20994063261198,-62.285485620659614,30,30,NaN
0,-59.20993706741609,-62.285487004384116,30,30,NaN
0,-59.209937661615385,-62.28549032532264,30,30,NaN
0,-59.20994218961565,-62.285494534621726,30,30,NaN
0,-59.209948357203125,-62.28549641370897,30,30,NaN
